BILL_CUSTOMER_SID,recency,frequency,monetary,rolling_freq,rolling_monetary,freq_trend,monetary_trend,cluster
18960.0,100,56,22743.41,56.0,22743.41,,,1
19022.0,105,2,-62.0,2.0,-62.0,,,1
19161.0,106,1,4089.0,1.0,4089.0,,,1
19180.0,98,2,0.0,2.0,0.0,,,1
19239.0,111,4,934.37,4.0,934.37,,,1
19450.0,112,3,2795.12,3.0,2795.12,,,1
19545.0,97,6,8225.6,6.0,8225.6,,,1
19551.0,108,20,6551.8099999999995,20.0,6551.8099999999995,,,1
19552.0,97,4,10123.84,4.0,10123.84,,,1
19595.0,104,3,1971.21,3.0,1971.21,,,1
19607.0,106,2,13149.22,2.0,13149.22,,,1
19716.0,104,4,1429.02,4.0,1429.02,,,1
19800.0,98,1,-64.53,1.0,-64.53,,,1
19833.0,112,2,1842.6999999999998,2.0,1842.6999999999998,,,1
19846.0,105,13,5761.62,13.0,5761.62,,,1
19869.0,111,19,5237.29,19.0,5237.29,,,1
19971.0,112,4,3570.61,4.0,3570.61,,,1
19983.0,100,65,10686.95,65.0,10686.95,,,1
19997.0,105,2,913.49,2.0,913.49,,,1
20087.0,101,7,2540.95,7.0,2540.95,,,1
20244.0,101,14,6236.01,14.0,6236.01,,,1
20287.0,112,11,3689.4,11.0,3689.4,,,1
20313.0,100,29,4471.09,29.0,4471.09,,,1
20314.0,101,6,639.74,3.0,319.86999999999995,4.0,23.80637353771682,1
20391.0,111,4,4088.7200000000003,4.0,4088.7200000000003,,,1
20445.0,106,5,4253.62,5.0,4253.62,,,1
20448.0,106,3,1373.75,3.0,1373.75,,,1
20511.0,100,18,29349.559999999998,18.0,29349.559999999998,,,1
20688.0,100,43,16601.2754,43.0,16601.2754,,,1
20863.0,100,12,5426.5,12.0,5426.5,,,1
20945.0,99,5,26341.56,5.0,26341.56,,,1
21178.0,99,2,258.06,2.0,258.06,,,1
21183.0,98,93,129842.38,46.5,64921.19,13.5,17.546068051706413,1
21279.0,108,14,1705.4344999999998,14.0,1705.4344999999998,,,1
21332.0,111,1,-120.0,1.0,-120.0,,,1
21417.0,101,12,3486.25,12.0,3486.25,,,1
21507.0,98,5,1773.3,5.0,1773.3,,,1
21701.0,99,5,17325.739999999998,5.0,17325.739999999998,,,1
21896.0,98,34,17188.9,34.0,17188.9,,,1
22140.0,106,4,1315.29,4.0,1315.29,,,1
22157.0,99,20,7966.46,20.0,7966.46,,,1
22176.0,97,419,456419.73,419.0,456419.73,,,0
22282.0,97,3,16440.85,3.0,16440.85,,,1
22404.0,101,23,19666.329999999998,23.0,19666.329999999998,,,1
22454.0,105,2,307.91999999999996,2.0,307.91999999999996,,,1
22619.0,99,105,45154.51,105.0,45154.51,,,1
22650.0,111,5,3630.64,5.0,3630.64,,,1
22761.0,97,492,183418.81,492.0,183418.81,,,0
22815.0,111,14,3528.5,14.0,3528.5,,,1
22922.0,104,2,3766.1600000000003,2.0,3766.1600000000003,,,1
22982.0,106,3,3180.99,3.0,3180.99,,,1
23016.0,113,2,11118.2,2.0,11118.2,,,1
23183.0,113,38,14655.69,38.0,14655.69,,,1
23194.0,98,38,187842.82,38.0,187842.82,,,1
23410.0,101,4,14469.32,4.0,14469.32,,,1
23591.0,99,10,2614.66,10.0,2614.66,,,1
23845.0,100,11,7375.38,11.0,7375.38,,,1
23910.0,111,1,4073.28,1.0,4073.28,,,1
23920.0,98,30,13704.720000000001,30.0,13704.720000000001,,,1
23979.0,107,3,-38.91,3.0,-38.91,,,1
24278.0,101,2,1034.84,2.0,1034.84,,,1
24356.0,101,24,7222.54,24.0,7222.54,,,1
24466.0,113,1,13245.0,1.0,13245.0,,,1
24487.0,104,1,-100.0,1.0,-100.0,,,1
24617.0,104,6,696.53,6.0,696.53,,,1
24702.0,111,10,7426.12,10.0,7426.12,,,1
24949.0,113,2,10808.7,2.0,10808.7,,,1
24958.0,98,114,119741.02,114.0,119741.02,,,1
24971.0,103,78,52424.48,78.0,52424.48,,,1
24990.0,100,21,14380.16,21.0,14380.16,,,1
25220.0,97,32,50069.64,32.0,50069.64,,,1
25230.0,101,5,3021.0,5.0,3021.0,,,1
25265.0,97,154,125861.49,154.0,125861.49,,,0
25447.0,371,2,26.520000000000003,2.0,26.520000000000003,,,2
