CUSTOMER_ID,TOTAL_REVENUE,CLUSTER,SEGMENT
40322.0,1585.98,2,Segment 8
40345.0,10164.52,2,Segment 8
40360.0,-1015.74,2,Segment 8
40370.0,31856.25,7,Segment 7
40381.0,316.29,2,Segment 8
40391.0,13832.58,2,Segment 8
40404.0,-526.0,2,Segment 8
40410.0,1769.6399999999999,2,Segment 8
40440.0,282.09000000000003,2,Segment 8
40448.0,771.0200000000001,2,Segment 8
40461.0,747.58,2,Segment 8
40462.0,1318.8,2,Segment 8
40473.0,0.0,2,Segment 8
40476.0,338.3,2,Segment 8
40479.0,308.26,2,Segment 8
40483.0,255.65,2,Segment 8
40936.0,8732.0,2,Segment 8
41295.0,1491.94,2,Segment 8
41426.0,0.0,2,Segment 8
41598.0,358.2,2,Segment 8
41725.0,49.98,2,Segment 8
41830.0,8713.22,2,Segment 8
41841.0,19492.06,2,Segment 8
41949.0,0.0,2,Segment 8
42174.0,426.83,2,Segment 8
42329.0,-426.55,2,Segment 8
42426.0,97147.86,0,Segment 6
42507.0,23550.46,2,Segment 8
42509.0,34676.06,7,Segment 7
42522.0,5539.86,2,Segment 8
42825.0,6173.18,2,Segment 8
43476.0,3720.38,2,Segment 8
43493.0,3579.19,2,Segment 8
202424.0,2404.6,2,Segment 8
